Import Deal ID,Deal Name,Customer Code,Sector,Deal Stage,Deal Status,Deal Value,Win Probability,Tentative Close Date,Tentative Close Period,Actual Close Date,Deal Owner,Created Date,Product or Service,Data Quality Severity,Data Quality Issues,Source Row Number
IMPORT-DEAL-3228EE886F70,Timon,COMPANY_182,Mining,Amount Accrued,Won,,,2025-02-28,,,OWNER_001,2025-01-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_182' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-3228EE886F70 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),289
IMPORT-DEAL-F913A7FA4D21,Timon,COMPANY_082,Others,Work Order Received,Won,195744.0,,2025-02-28,,,OWNER_003,2025-01-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_082' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-F913A7FA4D21 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),290
IMPORT-DEAL-1B3265C2D958,Timon,COMPANY_064,Others,Project Completed,Won,,,2025-03-31,,,OWNER_006,2025-02-10,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_064' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-1B3265C2D958 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),291
IMPORT-DEAL-60AEE917CDEE,Timon,COMPANY_181,Others,Project Completed,Won,,,2025-03-26,,,OWNER_006,2025-03-11,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_181' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-60AEE917CDEE due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),292
IMPORT-DEAL-5F19E14EC19A,Timon,COMPANY_125,Powerline,Work Order Received,Won,4986578.4,0.8,2025-08-29,,2025-08-29,OWNER_002,2025-05-13,Service + Spectra,info,[customer_code_normalized] Customer code normalized as 'COMPANY_125' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-5F19E14EC19A due to missing source primary key,293
IMPORT-DEAL-8B9D0C2DB776,Timon,COMPANY_062,Railways,Project Completed,Won,519945.0,,2025-07-04,,,OWNER_003,2025-05-14,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_062' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-8B9D0C2DB776 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),294
IMPORT-DEAL-B7D2439FDB19,Timon,COMPANY_019,Others,Project Completed,Won,,,2025-07-04,,,OWNER_003,2025-05-14,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_019' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-B7D2439FDB19 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),295
IMPORT-DEAL-9F6502BFE97B,Timon,COMPANY_022,Renewables,Work Order Received,Won,305850.0,,2025-05-30,,,OWNER_003,2025-05-14,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_022' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-9F6502BFE97B due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),296
IMPORT-DEAL-4120DA5A0BB3,Tuxedo Mask,COMPANY_131,Powerline,Work Order Received,Won,1205049.0,,2025-05-13,,,OWNER_003,2024-08-09,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_131' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-4120DA5A0BB3 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),297
IMPORT-DEAL-4EC2FC23D8BE,Pumbaa,COMPANY_005,Mining,Project Completed,Won,,,2024-09-30,,,OWNER_003,2024-08-13,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-4EC2FC23D8BE due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),298
