Work Order ID,Work Order Name,Deal Reference (Unavailable),Customer Code,Sector,Nature of Work,Execution Status,Contract Value Excl Tax,Contract Value Incl Tax,Implied Tax Rate,Probable Start Date,Probable End Date,Completion Date,Invoice Status,Billing Status,Owner,Data Quality Severity,Data Quality Issues,Source Row Number
SDPLDEAL-055,Asuna,,COMPANY_018,Mining,Monthly Contract,Executed Current Month,1775808.0,2095453.4400000002,0.18,,,,Partially Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_018',55
SDPLDEAL-056,Sakura,,COMPANY_002,Mining,One time Project,Completed,30830.000000000004,36379.4,0.18,2025-05-08,,,Fully Billed,,OWNER_008,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',56
SDPLDEAL-057,Asuna,,COMPANY_018,Mining,Monthly Contract,Executed Current Month,665928.0,785795.04,0.18,,,,Partially Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_018',57
SDPLDEAL-058,Gohan,,COMPANY_026,Construction,One time Project,Completed,1514246.28,1786810.6104000001,0.18,,,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_026',58
SDPLDEAL-060,Powerpuff Girls,,COMPANY_039,Mining,Monthly Contract,Executed Current Month,3877242.4600000004,4575146.1028,0.18,,,,Partially Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_039',59
SDPLDEAL-061,Rafiki,,COMPANY_048,Mining,Monthly Contract,Executed Current Month,2757435.2,3253773.5360000003,0.18,,,,Fully Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_048',60
SDPLDEAL-062,Bulbasaur,,COMPANY_050,Others,Annual Rate Contract,Executed Current Month,158699.385788,187265.27522984002,0.18,2025-02-05,2025-06-20,,,,OWNER_004,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_050',61
SDPLDEAL-063,Alias_160,,COMPANY_051,Mining,Annual Rate Contract,Executed Current Month,1.2332,1.455176,0.18,2025-04-01,2026-04-01,,,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',62
SDPLDEAL-065,Shanks,,COMPANY_012,Renewables,One time Project,Completed,24664.0,29103.52,0.18,2025-04-10,2025-04-16,,Fully Billed,,OWNER_004,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_012',63
SDPLDEAL-066,Subaru,,COMPANY_019,Mining,One time Project,Completed,81555.27726,96235.2271668,0.18,2025-05-01,2025-06-10,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',64
